model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,ml_model,strategy,factor_model,beta_UMD,beta_QMJ
random_forest_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,random_forest,Static 60/40,FF7,-0.1661638633627678,0.062182069340499045
xgboost_Regime-Switching_FF5_NET,0.007330192559288132,0.5286511990128226,0.5970474363757067,,0.935006330780073,370,1.1378287243418932,0.6543012541466434,0.012425370708673665,0.12517512109948603,-0.12994154429583377,xgboost,Regime-Switching,FF5,,
xgboost_Regime-Switching_FF6_NET,0.02187612239503798,1.4520009132608342,0.14650135130584022,,0.9481737758212923,370,1.1002601317911924,0.658166347567348,-0.10164661333695493,0.14525857150047466,-0.04316544882565138,xgboost,Regime-Switching,FF6,-0.16259927910820712,
xgboost_Regime-Switching_FF7_NET,0.018849367089898744,1.155019625962265,0.2480823896097235,,0.9488606452233147,370,1.1036320350620794,0.6726898743023582,-0.09998084902504599,0.07826394824055813,-0.029771625039217153,xgboost,Regime-Switching,FF7,-0.1885037926368174,0.10308543103497551
xgboost_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,xgboost,Buy&Hold Offensive,FF5,,
xgboost_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,xgboost,Buy&Hold Offensive,FF6,-0.16206979838638869,
xgboost_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,xgboost,Buy&Hold Offensive,FF7,-0.1805561431899243,0.07356528120973736
xgboost_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,xgboost,Buy&Hold Defensive,FF5,,
xgboost_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,xgboost,Buy&Hold Defensive,FF6,-0.1332038288128697,
xgboost_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,xgboost,Buy&Hold Defensive,FF7,-0.14458264322745729,0.045281297689656996
xgboost_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,xgboost,Static 60/40,FF5,,
xgboost_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,xgboost,Static 60/40,FF6,-0.15053802525649437,
xgboost_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,xgboost,Static 60/40,FF7,-0.1661638633627678,0.062182069340499045
lstm_expanding_Regime-Switching_FF5_NET,0.006351330502386537,0.5556585827462044,0.5784442751190246,,0.9450614680008667,370,1.126561274052129,0.6942583649457674,0.021714996445372906,0.22036317561512722,-0.05691015367363236,lstm_expanding,Regime-Switching,FF5,,
lstm_expanding_Regime-Switching_FF6_NET,0.017584517055489083,1.477934086321005,0.13942542163530422,,0.953314616583034,370,1.0975486902280043,0.6972432078489167,-0.06637781657767662,0.23587274753880227,0.010103236310602023,lstm_expanding,Regime-Switching,FF6,-0.12556832435238824,
lstm_expanding_Regime-Switching_FF7_NET,0.014808346062837853,1.1464249406456566,0.25161936794208084,,0.9539219219977083,370,1.1006414344728948,0.7105643354485834,-0.06484996047531415,0.17442459233379623,0.02238818878543342,lstm_expanding,Regime-Switching,FF7,-0.14932820970379374,0.09455101405730343
lstm_expanding_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,lstm_expanding,Buy&Hold Offensive,FF5,,
lstm_expanding_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,lstm_expanding,Buy&Hold Offensive,FF6,-0.16206979838638869,
lstm_expanding_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,lstm_expanding,Buy&Hold Offensive,FF7,-0.1805561431899243,0.07356528120973736
lstm_expanding_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,lstm_expanding,Buy&Hold Defensive,FF5,,
lstm_expanding_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,lstm_expanding,Buy&Hold Defensive,FF6,-0.1332038288128697,
lstm_expanding_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,lstm_expanding,Buy&Hold Defensive,FF7,-0.14458264322745729,0.045281297689656996
lstm_expanding_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,lstm_expanding,Static 60/40,FF5,,
lstm_expanding_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,lstm_expanding,Static 60/40,FF6,-0.15053802525649437,
lstm_expanding_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,lstm_expanding,Static 60/40,FF7,-0.1661638633627678,0.062182069340499045
lstm_rolling_10y_Regime-Switching_FF5_NET,0.007150547899518602,0.6316267273212988,0.5276308175852775,,0.9449077009853011,370,1.113727393240557,0.6793775038330728,0.0080770354827058,0.21391309887248114,-0.018327837117808343,lstm_rolling_10y,Regime-Switching,FF5,,
lstm_rolling_10y_Regime-Switching_FF6_NET,0.01817728824603998,1.5373552261645282,0.12420634436537112,,0.9531172165756254,370,1.0852480096660047,0.6823074905748219,-0.0783967866164685,0.22913763214980215,0.04745396465350102,lstm_rolling_10y,Regime-Switching,FF6,-0.12326059946001193,
lstm_rolling_10y_Regime-Switching_FF7_NET,0.01666803851338592,1.3030631346226051,0.192553208192208,,0.953302504219574,370,1.086929362665196,0.6895494466076634,-0.077566176246961,0.19573168847390884,0.05413260991251806,lstm_rolling_10y,Regime-Switching,FF7,-0.13617752738318029,0.05140212654975751
lstm_rolling_10y_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,lstm_rolling_10y,Buy&Hold Offensive,FF5,,
lstm_rolling_10y_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,lstm_rolling_10y,Buy&Hold Offensive,FF6,-0.16206979838638869,
lstm_rolling_10y_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,lstm_rolling_10y,Buy&Hold Offensive,FF7,-0.1805561431899243,0.07356528120973736
lstm_rolling_10y_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,lstm_rolling_10y,Buy&Hold Defensive,FF5,,
lstm_rolling_10y_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,lstm_rolling_10y,Buy&Hold Defensive,FF6,-0.1332038288128697,
lstm_rolling_10y_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,lstm_rolling_10y,Buy&Hold Defensive,FF7,-0.14458264322745729,0.045281297689656996
lstm_rolling_10y_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,lstm_rolling_10y,Static 60/40,FF5,,
lstm_rolling_10y_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,lstm_rolling_10y,Static 60/40,FF6,-0.15053802525649437,
lstm_rolling_10y_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,lstm_rolling_10y,Static 60/40,FF7,-0.1661638633627678,0.062182069340499045
